tracks,weights
DNASE:cerebellum male adult (27 years) and male adult (35 years),0
DNASE:frontal cortex male adult (27 years) and male adult (35 years),0
DNASE:chorion,0
DNASE:Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour,-0.021459
DNASE:GM03348,0
DNASE:GM03348 genetically modified using transduction treated with 3 ug/mL doxycycline for 10 days,0
DNASE:AG08395,0
DNASE:AG08396,0
DNASE:AG20443,0
DNASE:frontal cortex female adult (67 years) and female adult (80 years),0
DNASE:H54,0
DNASE:GM10248,0
DNASE:GM12878,0
DNASE:GM12891,0
DNASE:GM12892,0
DNASE:GM18507,0
DNASE:GM19238,0
DNASE:GM19239,0
DNASE:GM19240,0
DNASE:H1-hESC,0
DNASE:H7-hESC,0
DNASE:H9,0
DNASE:heart male adult (27 years) and male adult (35 years),0
DNASE:HEK293T,0
DNASE:HeLa-S3 treated with interferon alpha for 4 hours,0
DNASE:HeLa-S3,0
DNASE:hepatocyte,0
DNASE:HepG2,0
DNASE:HTR-8/SVneo,-0.004034
DNASE:endothelial cell of umbilical vein newborn,0
DNASE:CWRU1 male,0
DNASE:iPS-NIHi11 male adult (71 year) originated from AG20443,0
DNASE:iPS-NIHi7 female adult (85 years) originated from AG08395,0
DNASE:K562 treated with 1 uM vorinostat for 72 hours,0
DNASE:K562 G2 phase,0
DNASE:K562 G1 phase,0
DNASE:LNCaP clone FGC,0
DNASE:LNCaP clone FGC treated with 1 nM 17B-hydroxy-17-methylestra-4;9;11-trien-3-one for 12 hours,0
DNASE:MCF-7 originated from MCF-7,0
DNASE:medulloblastoma,0
DNASE:epidermal melanocyte,0
DNASE:CD14-positive monocyte female,0
DNASE:keratinocyte female,-0.06141
DNASE:osteoblast,0
DNASE:psoas muscle male adult (27 years) and male adult (35 years),0
DNASE:T47D treated with 10 nM 17B-estradiol for 30 minutes,-0.001272
DNASE:urothelium cell line,0
DNASE:A549,0
DNASE:AG04449,0
DNASE:AG04450,0
DNASE:AG09309,0
DNASE:AG09319,0
DNASE:AG10803,0
DNASE:fibroblast of the aortic adventitia female,0
DNASE:BE2C,0
DNASE:BJ,0
DNASE:HS-27A,0
DNASE:HS-5,0
DNASE:stromal cell of bone marrow male,0
DNASE:Caco-2,0
DNASE:B cell female adult (43 years),0
DNASE:hematopoietic multipotent progenitor cell,0
DNASE:naive thymus-derived CD4-positive; alpha-beta T cell male adult (26 years),0
DNASE:CMK,0
DNASE:GM04503,0
DNASE:GM04504,0
DNASE:GM06990,0
DNASE:GM12864,0
DNASE:GM12865,0
DNASE:GM12878,0
DNASE:H1-hESC,0
DNASE:cardiac mesoderm,0
DNASE:cardiac mesoderm,0
DNASE:cardiac mesoderm,0
DNASE:cardiac mesoderm,0
DNASE:H7-hESC,0
DNASE:astrocyte of the hippocampus,0
DNASE:astrocyte of the spinal cord,0
DNASE:astrocyte of the cerebellum,0
DNASE:amniotic epithelial cell,0
DNASE:brain microvascular endothelial cell,0
DNASE:brain pericyte,0
DNASE:smooth muscle cell of the brain vasculature female,0
DNASE:cardiac fibroblast,0
DNASE:cardiac fibroblast female,0
DNASE:cardiac muscle cell,0
DNASE:fibroblast of the conjunctiva,0
DNASE:choroid plexus epithelial cell,0
DNASE:HCT116,0
DNASE:epithelial cell of esophagus,-0.016253
DNASE:HeLa-S3 G1b phase,0
DNASE:HepG2,0
DNASE:foreskin fibroblast male newborn,0
DNASE:HFF-Myc originated from foreskin fibroblast,0
DNASE:fibroblast of gingiva,0
DNASE:iris pigment epithelial cell,0
DNASE:HL-60,0
DNASE:mammary epithelial cell female,0
DNASE:fibroblast of mammary gland female,0
DNASE:dermis blood vessel endothelial cell female adult,0
DNASE:dermis blood vessel endothelial cell female adult,0
DNASE:dermis blood vessel endothelial cell male newborn,0
DNASE:dermis microvascular lymphatic vessel endothelial cell female,0
DNASE:dermis microvascular lymphatic vessel endothelial cell male,0
DNASE:dermis blood vessel endothelial cell male newborn,0
DNASE:lung microvascular endothelial cell female,0
DNASE:lung microvascular endothelial cell female,0
DNASE:non-pigmented ciliary epithelial cell,0
DNASE:pulmonary artery endothelial cell female,0
DNASE:fibroblast of pulmonary artery,0
DNASE:fibroblast of peridontal ligament male,0
DNASE:fibroblast of lung,0
DNASE:renal cortical epithelial cell,0
DNASE:kidney epithelial cell,0
DNASE:glomerular endothelial cell,0
DNASE:retinal pigment epithelial cell,0
DNASE:skeletal muscle myoblast,0
DNASE:myotube originated from skeletal muscle myoblast,0
DNASE:endothelial cell of umbilical vein newborn,0
DNASE:fibroblast of villous mesenchyme,0
DNASE:Jurkat clone E61,0
DNASE:K562,0
DNASE:K562,0
DNASE:K562,0
DNASE:myocyte originated from LHCN-M2,0
DNASE:LHCN-M2,0
DNASE:LNCaP clone FGC,0
DNASE:M059J,0
DNASE:MCF-7,0
DNASE:MCF-7 treated with 100 nM estradiol for 1 hour,0
DNASE:MCF-7,0
DNASE:CD14-positive monocyte female,0
DNASE:NB4,0
DNASE:astrocyte,0
DNASE:bronchial epithelial cell female treated with retinoic acid,0
DNASE:fibroblast of dermis female adult,0
DNASE:foreskin fibroblast male newborn,0
DNASE:keratinocyte female,0
DNASE:fibroblast of lung male adult (45 years),0
DNASE:NT2/D1,0
DNASE:Panc1,0
DNASE:epithelial cell of prostate,0
DNASE:RPMI-7951,0
DNASE:epithelial cell of proximal tubule,0
DNASE:bronchial epithelial cell,0
DNASE:SK-N-MC,0
DNASE:SK-N-SH treated with 6 uM all-trans-retinoic acid for 48 hours,0
DNASE:skeletal muscle cell,0
DNASE:T47D,0
DNASE:T-helper 1 cell,0
DNASE:T-helper 1 cell female adult (26 years),0
DNASE:T-helper 1 cell male adult (33 years),0
DNASE:T-helper 17 cell,0
DNASE:T-helper 2 cell,0
DNASE:T-helper 2 cell female adult (26 years),0
DNASE:T-helper 2 cell male adult (33 years),0
DNASE:regulatory T cell female adult (35 years),0
DNASE:regulatory T cell male adult (28 years),0
DNASE:WERI-Rb-1,0.000445
DNASE:WI38 genetically modified using stable transfection originated from WI38 treated with 20 nM afimoxifene for 72 hours,0
DNASE:WI38 genetically modified using stable transfection originated from WI38,0
DNASE:HT1080,0
DNASE:SK-MEL-5,0
DNASE:SJCRH30,0
DNASE:NCI-H460,0
DNASE:SK-N-DZ treated with dimethyl sulfoxide for 72 hours,0
DNASE:GM23338 male adult (53 years) originated from GM23248,0
DNASE:lung embryo (112 days),0
DNASE:SK-MEL-5,0
DNASE:muscle of back female embryo (113 days),0
DNASE:iPS DF 4.7 male newborn,0
DNASE:right renal cortex interstitium male embryo (105 days),0
DNASE:caudate nucleus male adult (78 years),0
DNASE:left renal pelvis male embryo (105 days),0
DNASE:H9 S1 phase genetically modified using stable transfection,0
DNASE:right kidney female embryo (87 days),0
DNASE:Karpas-422,0
DNASE:CD8-positive; alpha-beta T cell male adult (21 year),0
DNASE:renal cortex interstitium female embryo (96 days),0
DNASE:brain female embryo (85 days),0
DNASE:muscle of leg male embryo (97 days),0
DNASE:muscle of back female embryo (105 days),0
DNASE:placenta female embryo (113 days),0
DNASE:foreskin keratinocyte male newborn,0
DNASE:right kidney female embryo (107 days),0
DNASE:RCC 7860,0
DNASE:colon epithelial cell line,0
DNASE:left renal cortex interstitium male embryo (120 days),0
DNASE:T-cell,0
DNASE:large intestine male embryo (113 days),0
DNASE:PC-3,0
DNASE:muscle of leg male embryo (96 days),0
DNASE:adrenal gland embryo (96 days),0
DNASE:coronary artery female adult (53 years),0
DNASE:stomach female embryo (105 days),0
DNASE:muscle of arm female embryo (115 days),0
DNASE:heart female embryo (91 day),0
DNASE:kidney embryo (80 days),0
DNASE:heart left ventricle female adult (53 years),0
DNASE:muscle of back female embryo (98 days),0
DNASE:lung male embryo (108 days),0
DNASE:tibial artery female adult (53 years),0
DNASE:adrenal gland male embryo (101 day),0
DNASE:kidney female embryo (121 day),0
DNASE:stomach female embryo (107 days),0
DNASE:small intestine female embryo (110 days),0
DNASE:MG63,0
DNASE:skin of body female embryo (82 days),0
DNASE:left renal cortex interstitium male embryo (105 days),0
DNASE:stomach male embryo (58 days) and male embryo (76 days),0
DNASE:left kidney female embryo (59 days) and male embryo (91 day),0
DNASE:hematopoietic multipotent progenitor cell,0
DNASE:kidney female embryo (120 days),0
DNASE:muscle of back female embryo (115 days),0
DNASE:hematopoietic multipotent progenitor cell male adult (25 years) treated with erythropoietin for 20 days; hydrocortisone succinate for 20 days; kit ligand for 20 days; interleukin-3 for 20 days,0.003223
DNASE:small intestine female embryo (120 days),0
DNASE:brain embryo (112 days),0
DNASE:stomach female embryo (105 days),0
DNASE:left kidney female embryo (98 days),0
DNASE:trophoblast cell embryo (21 week),0
DNASE:common myeloid progenitor; CD34-positive female adult (27 years),0
DNASE:eye female embryo (76 days),0
DNASE:renal cortex interstitium male embryo (108 days),0
DNASE:placenta female embryo (108 days),0
DNASE:stomach female adult (53 years),0
DNASE:small intestine female embryo (107 days),0
DNASE:large intestine female embryo (120 days),0
DNASE:kidney glomerular epithelial cell male adult (43 years) and male adult (62 years),0
DNASE:renal pelvis female embryo (96 days),0
DNASE:lung female embryo (76 days),0
DNASE:muscle of back male embryo (104 days),0
DNASE:lung female embryo (85 days),0
DNASE:spinal cord male embryo (105 days),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days; kit ligand for 4 days; hydrocortisone succinate for 4 days; erythropoietin for 4 days,0
DNASE:HepG2,0
DNASE:foreskin fibroblast male newborn,0
DNASE:omental fat pad female adult (53 years),0
DNASE:large intestine female embryo (110 days),0
DNASE:heart female embryo (105 days),0
DNASE:renal cortex interstitium male embryo (113 days),0
DNASE:brain female embryo (96 days),0
DNASE:thyroid gland male adult (37 years),0
DNASE:liver embryo (59 days) and embryo (80 days),0
DNASE:stomach male adult (54 years),0
DNASE:thymus male embryo (127 days),0
DNASE:upper lobe of left lung male adult (37 years),0
DNASE:endodermal cell,0
DNASE:forelimb muscle female embryo (108 days),0
DNASE:CD4-positive; alpha-beta T cell male adult (37 years),0
DNASE:muscle of leg male embryo (101 day),0
DNASE:gastrocnemius medialis male adult (37 years),0
DNASE:gastrocnemius medialis male adult (54 years),0
DNASE:stomach male embryo (91 day),0
DNASE:muscle of back male embryo (101 day),0
DNASE:heart female embryo (117 days),0
DNASE:kidney tubule cell female adult (80 years) and male adult (62 years),0
DNASE:fibroblast of skin of abdomen male embryo (97 days),0
DNASE:pancreas male adult (34 years),0
DNASE:trophoblast cell originated from H1-hESC,0
DNASE:left kidney male embryo (96 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:brain female embryo (142 days),0
DNASE:small intestine male embryo (105 days),0
DNASE:heart female embryo (110 days),0
DNASE:common myeloid progenitor; CD34-positive female,0
DNASE:adrenal gland male adult (37 years),0.026384
DNASE:muscle of back female embryo (85 days),0
DNASE:muscle of leg female embryo (85 days),0
DNASE:Peyer's patch male adult (54 years),0
DNASE:amniotic stem cell,0
DNASE:stomach female embryo (98 days),0
DNASE:large intestine female embryo (91 day),0
DNASE:lung female embryo (120 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:SW480,0
DNASE:GM23248,0
DNASE:muscle of trunk female embryo (120 days),0
DNASE:islet precursor cell,0
DNASE:medulla oblongata male adult (78 years) and male adult (84 years),0
DNASE:right lung male embryo (115 days),0
DNASE:body of pancreas male adult (54 years),0
DNASE:mammary epithelial cell female adult (18 years),0
DNASE:gastrocnemius medialis female adult (51 year),0
DNASE:uterus female adult (53 years),0
DNASE:ELR,0
DNASE:omental fat pad female adult (51 year),0
DNASE:stomach male child (3 years),0
DNASE:B cell male adult (37 years),0
