gene_id MainDriverLoci MeanISMatLoci_in_refseq/MaxISM nBpatLociwith>5%_in_ref NbpatLociwith>10%_in_ref NbpatLociwith>20%_in_ref NbpatLociwith>50%_in_ref DistToBpwith>5%_in_ref DistToBpwith>10%_in_ref DistToBpwith>20%_in_ref DistToBpwith>50%_in_ref MeanISMatDistToBPwith>5%_in_refseq/MaxISM MeanISMatDistToBPwith>10%_in_refseq/MaxISM MeanISMatDistToBPwith>20%_in_refseq/MaxISM MeanISMatDistToBPwith>50%_in_refseq/MaxISM MeanISMatLoci_in_varseq/MaxISM nBpatLociwith>5%_in_var NbpatLociwith>10%_in_var NbpatLociwith>20%_in_var NbpatLociwith>50%_in_var DistToBpwith>5%_in_var DistToBpwith>10%_in_var DistToBpwith>20%_in_var DistToBpwith>50%_in_var MeanISMatDistToBPwith>5%_in_varseq/MaxISM MeanISMatDistToBPwith>10%_in_varseq/MaxISM MeanISMatDistToBPwith>20%_in_varseq/MaxISM MeanISMatDistToBPwith>50%_in_varseq/MaxISM
ENSG00000001460 24417389 -0.052781532900420924 1 0 0 0 0 20 20 20 -0.052781532900420924 0.006678503622841903 0.006678503622841903 0.006678503622841903 0.14554580955753935 8 7 0 0 0 0 20 20 0.14554580955753935 0.14554580955753935 -0.027064469899485712 -0.027064469899485712
ENSG00000006607 241356233 0.03598110770105097 0 0 0 0 3 4 6 7 -0.05879369829645733 -0.12570844067905185 -0.35845490056302953 -0.587256430956411 -0.10649461786292981 2 1 0 0 0 0 7 20 -0.10649461786292981 -0.10649461786292981 -0.36692566516019937 -0.12071133836328611
ENSG00000013573 31073901 0.37577145957846136 2 1 1 0 0 0 0 20 0.37577145957846136 0.37577145957846136 0.37577145957846136 -0.05224824443034456 -0.5165216898594652 6 5 5 3 0 0 0 0 -0.5165216898594652 -0.5165216898594652 -0.5165216898594652 -0.5165216898594652
ENSG00000014138 65261966 -0.029960202214648384 0 0 0 0 1 1 12 17 -0.11291314425588538 -0.11291314425588538 0.40513384401618224 -0.5064214163616897 0.15979102843243206 3 1 0 0 0 0 7 18 0.15979102843243206 0.15979102843243206 0.23010277789565792 -0.6812393435981923
ENSG00000015592 27261676 0.016736923783440164 0 0 0 0 20 20 20 20 0.003636357677219284 0.003636357677219284 0.003636357677219284 0.003636357677219284 -0.04344050025972932 0 0 0 0 20 20 20 20 -0.013749166352874646 -0.013749166352874646 -0.013749166352874646 -0.013749166352874646
ENSG00000023041 112446996 0.0769191680303211 1 0 0 0 0 3 4 11 0.0769191680303211 0.15920053388625624 0.2648902390590239 0.5320651846011213 -0.07556449459888448 1 0 0 0 0 2 8 20 -0.07556449459888448 -0.10784560714439784 0.21956486796309405 -0.21895139617796025
ENSG00000029639 155314503 -0.04414314998842411 0 0 0 0 1 1 1 20 -0.4133854632441802 -0.4133854632441802 -0.4133854632441802 0.10523816129995801 -0.33628303854356795 6 6 4 0 0 0 0 1 -0.33628303854356795 -0.33628303854356795 -0.33628303854356795 -0.5147692376286735
ENSG00000031691 49463261 -0.176733687160462 8 5 0 0 0 0 1 20 -0.176733687160462 -0.176733687160462 -0.21842228378723397 0.10472449393100736 0.44200625021692236 4 4 4 0 0 0 0 20 0.44200625021692236 0.44200625021692236 0.44200625021692236 0.13408179673054604
ENSG00000032742 20567343 0.08139777462617621 3 0 0 0 0 1 20 20 0.08139777462617621 0.13944074274655147 -0.04165283812023743 -0.04165283812023743 -0.13410933844310022 1 1 0 0 0 0 20 20 -0.13410933844310022 -0.13410933844310022 -0.03968927969966339 -0.03968927969966339
ENSG00000040531 3636427 0.10172886261604547 2 1 0 0 0 0 4 20 0.10172886261604547 0.10172886261604547 -0.2114805034242253 0.14643881739407477 -0.05518021876271071 1 0 0 0 0 4 4 20 -0.05518021876271071 -0.2895567057977419 -0.2895567057977419 0.08068064585747363
ENSG00000041802 194672479 -0.058128461216665844 3 0 0 0 0 1 20 20 -0.058128461216665844 -0.11782579561699165 -0.030723688233951645 -0.030723688233951645 0.12230447493312158 5 2 0 0 0 0 20 20 0.12230447493312158 0.12230447493312158 0.05917233439822278 0.05917233439822278
ENSG00000042493 85418470 -0.0012245504210089064 0 0 0 0 20 20 20 20 -0.004515744489509758 -0.004515744489509758 -0.004515744489509758 -0.004515744489509758 0.005186261709116462 0 0 0 0 20 20 20 20 -0.008293773548154583 -0.008293773548154583 -0.008293773548154583 -0.008293773548154583
ENSG00000053900 25377097 -0.17551782061500265 6 3 0 0 0 0 2 20 -0.17551782061500265 -0.17551782061500265 -0.2008031029322507 -0.3171100120925828 0.001924084936139078 0 0 0 0 1 12 19 20 0.06737101843369163 -0.12020559502645543 -0.30213159754296287 -0.37680285288652865
