gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	chr_hg19	tss_hg19
DDX11L1	ENSG00000223972	1	11869	14409	+	11869	chr1	11869
WASH7P	ENSG00000227232	1	14404	29570	-	29570	chr1	29570
MIR6859-1	ENSG00000278267	1	17369	17436	-	17436	chr1	17436
MIR1302-2HG	ENSG00000243485	1	29554	31109	+	29554	chr1	29554
MIR1302-2	ENSG00000284332	1	30366	30503	+	30366	chr1	30366
FAM138A	ENSG00000237613	1	34554	36081	-	36081	chr1	36081
OR4G4P	ENSG00000268020	1	52473	53312	+	52473	chr1	52473
OR4G11P	ENSG00000240361	1	57598	64116	+	57598	chr1	57598
OR4F5	ENSG00000186092	1	65419	71585	+	65419	chr1	65419
AL627309.1	ENSG00000238009	1	89295	133723	-	133723	chr1	133723
AL627309.3	ENSG00000239945	1	89551	91105	-	91105	chr1	91105
CICP27	ENSG00000233750	1	131025	134836	+	131025	chr1	131025
AL627309.7	ENSG00000268903	1	135141	135895	-	135895	chr1	135895
AL627309.8	ENSG00000269981	1	137682	137965	-	137965	chr1	137965
AL627309.2	ENSG00000239906	1	139790	140339	-	140339	chr1	140339
AL627309.5	ENSG00000241860	1	141474	173862	-	173862	chr1	173862
RNU6-1100P	ENSG00000222623	1	157784	157887	-	157887	chr1	157887
AL627309.4	ENSG00000241599	1	160446	161525	+	160446	chr1	160446
FO538757.2	ENSG00000279928	1	182696	184174	+	182696	chr2	114358839
FO538757.1	ENSG00000279457	1	185217	195411	-	195411	chr2	114346132
MIR6859-2	ENSG00000273874	1	187891	187958	-	187958	chr2	114353577
AP006222.1	ENSG00000228463	1	257864	359681	-	359681	chr5	180887713
RPL23AP24	ENSG00000236679	1	347982	348366	-	348366	chr5	180899028
AL732372.1	ENSG00000236601	1	358857	366052	+	358857	chr5	180888537
AL732372.2	ENSG00000237094	1	365389	522928	-	522928	chr5	180722505
WBP1LP7	ENSG00000269732	1	439870	440232	+	439870	chr5	180806096
OR4F29	ENSG00000284733	1	450703	451697	-	451697	chr5	180794269
CICP7	ENSG00000233653	1	487101	489906	+	487101	chr5	180758851
AL732372.3	ENSG00000250575	1	491225	493241	-	493241	chr5	180752711
U6	ENSG00000278757	1	516376	516479	-	516479	chr5	180728968
AL669831.3	ENSG00000230021	1	586071	827796	-	827796	chr1	763176
AC114498.1	ENSG00000235146	1	587629	594768	+	587629	chr1	523009
MTND1P23	ENSG00000225972	1	629062	629433	+	629062	chr1	564442
MTND2P28	ENSG00000225630	1	629640	630683	+	629640	chr1	565020
MTCO1P12	ENSG00000237973	1	631074	632616	+	631074	chr1	566454
MIR6723	ENSG00000278791	1	632325	632413	-	632413	chr1	567793
MTCO2P12	ENSG00000229344	1	632757	633438	+	632757	chr1	568137
MTATP8P1	ENSG00000240409	1	633535	633741	+	633535	chr1	568915
MTATP6P1	ENSG00000248527	1	633696	634376	+	633696	chr1	569076
MTCO3P12	ENSG00000198744	1	634376	634922	+	634376	chr1	569756
WBP1LP6	ENSG00000268663	1	674842	675265	+	674842	chr1	610222
OR4F16	ENSG00000284662	1	685679	686673	-	686673	chr1	622053
CICP3	ENSG00000229376	1	722092	724903	+	722092	chr1	657472
AL669831.1	ENSG00000228327	1	725885	778626	-	778626	chr1	714006
RNU6-1199P	ENSG00000223181	1	758233	758336	-	758336	chr1	693716
AL669831.2	ENSG00000229905	1	760911	761989	+	760911	chr1	696291
AL669831.5	ENSG00000237491	1	778770	810060	+	778770	chr1	714150
AL669831.4	ENSG00000230092	1	800879	817712	-	817712	chr1	753092
FAM87B	ENSG00000177757	1	817371	819837	+	817371	chr1	752751
LINC01128	ENSG00000228794	1	825138	859446	+	825138	chr1	760518
LINC00115	ENSG00000225880	1	826206	827522	-	827522	chr1	762902
FAM41C	ENSG00000230368	1	868071	876903	-	876903	chr1	812283
TUBB8P11	ENSG00000234711	1	873292	874349	+	873292	chr1	808672
AL669831.6	ENSG00000283040	1	874529	877234	-	877234	chr1	812614
AL645608.7	ENSG00000272438	1	904834	915976	+	904834	chr1	840214
AL645608.3	ENSG00000230699	1	911435	914948	+	911435	chr1	846815
AL645608.5	ENSG00000241180	1	914171	914971	+	914171	chr1	849551
AL645608.1	ENSG00000223764	1	916865	921016	-	921016	chr1	856396
SAMD11	ENSG00000187634	1	923928	944581	+	923928	chr1	859308
