# gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	LociDriverhg38	DisttoTSS	ISM	SumISMPearsonRtoCAGE,adult,brain	DriverPearsonRtoCAGE,adult,brain	DecreasedFractionofSumPearsonRWithoutDrivertoCAGE,adult,brain	IncreasedFractionofSumPearonRbyrankedDrivertoCAGE,adult,brain	NIndividualsWithSNV	FractionIndividualsWithSNV	IsMainDriver	ISMFractionofISMmaxinSNV	eQTL	maxeQTLgene	PearsonRGenotypetoObs	RefseqforwardCAGE,adult,brain	MaxISM+-1000TSS	StdISM+-1000ISM
STPG1	ENSG00000001460	1	24356999	24416934	-	24416934	24417389	455	0.01265	0.97	0.97	1.25	1.0	509	43.8	True	1.0	-0.107638	1.05414	-0.2478	0.092016846	0.0850742757320404	0.004581104040191022
FARP2	ENSG00000006607	2	241356243	241494841	+	241356243	241356233	-10	-0.99268	0.92	0.94	0.83	1.02	1114	96.0	True	-0.202	0.128377	0.870283	0.3823	33.09565	9.289848327636719	0.5085821770692547
DDX11	ENSG00000013573	12	31073845	31104791	+	31073845	31073901	56	-3.13881	0.96	0.95	2.0	0.99	799	68.8	True	-1.0	-0.923821	2.189899	-0.8444	6.893474	4.69025182723999	0.3236505874312006
POLA2	ENSG00000014138	11	65261762	65305589	+	65261762	65261966	204	1.04261	0.98	0.65	0.13	0.67	172	14.8	True	1.0	0.155294	1.319672	0.2179	11.3481045	7.326128005981445	0.4479361311291425
POLA2	ENSG00000014138	11	65261762	65305589	+	65261762	65266403	4641	-0.55469	0.98	0.96	0.41	0.32	313	27.0	False	-0.532	-0.065785	1.319672	-0.1305	11.3481045	7.326128005981445	0.4479361311291425
STMN4	ENSG00000015592	8	27235323	27258420	-	27258420	27245507	-12913	-3.74149	0.9	0.82	0.32	0.39	703	60.6	False	-0.862	-0.192287	1.937384	-0.3895	98.703575	96.11825799942017	4.776133146748262
STMN4	ENSG00000015592	8	27235323	27258420	-	27258420	27258225	-195	2.83392	0.9	0.87	0.05	0.05	114	9.8	False	0.653	0.050181	1.937384	0.0466	98.703575	96.11825799942017	4.776133146748262
STMN4	ENSG00000015592	8	27235323	27258420	-	27258420	27261676	3256	-4.33811	0.9	0.46	0.01	0.52	68	5.9	True	-1.0	-0.081375	1.937384	-0.0565	98.703575	96.11825799942017	4.776133146748262
ZDHHC6	ENSG00000023041	10	112424428	112446917	-	112446917	112430594	-16323	-0.11328	0.82	0.71	0.06	0.07	248	21.4	False	-0.072	-0.11775	0.763484	-0.3214	19.190926	4.141328811645508	0.35954806787731514
ZDHHC6	ENSG00000023041	10	112424428	112446917	-	112446917	112446996	79	-0.47361	0.82	0.83	0.14	0.83	1064	91.6	True	-0.3	-0.026299	0.763484	-0.1023	19.190926	4.141328811645508	0.35954806787731514
ZDHHC6	ENSG00000023041	10	112424428	112446917	-	112446917	112447722	805	-0.15325	0.82	0.66	0.06	0.05	267	23.0	False	-0.097	-0.025401	0.763484	-0.0683	19.190926	4.141328811645508	0.35954806787731514
TFB1M	ENSG00000029639	6	155257509	155314493	-	155314493	155314503	10	-1.84961	0.97	0.97	0.68	0.9	970	83.5	True	-0.844	-0.183322	1.652502	-0.4482	20.786177	8.441669464111328	0.6533235775359706
CENPQ	ENSG00000031691	6	49463378	49493107	+	49463378	49463261	-117	3.7233	0.96	0.96	0.55	0.99	696	59.9	True	1.0	-0.224858	1.618113	-0.355	8.4012165	8.02340316772461	0.449512220509701
IFT88	ENSG00000032742	13	20567069	20691437	+	20567069	20567343	274	-1.34968	0.97	0.94	0.27	0.94	839	72.3	True	-0.957	-0.069221	1.063554	-0.1779	12.561568	8.350412368774414	0.4955569752596315
CTNS	ENSG00000040531	17	3636468	3661542	+	3636468	3636427	-41	-0.25551	0.97	0.87	0.08	0.9	169	14.6	True	-1.0	-0.139571	1.309284	-0.1604	6.3039055	2.1711559295654297	0.1793080155754196
CTNS	ENSG00000040531	17	3636468	3661542	+	3636468	3660996	24528	-0.11206	0.97	0.95	0.04	0.08	439	37.8	False	-0.439	-0.261105	1.309284	-0.4714	6.3039055	2.1711559295654297	0.1793080155754196
