	mean gene expression	Enf prediction, Reference, fine-tuned
ENSG00000225972	2.559757	4.284999
ENSG00000225630	8.851137	3.953469
ENSG00000237973	6.569515	4.266587
ENSG00000229344	3.388781	4.550895
ENSG00000248527	10.585198	4.282920
ENSG00000198744	3.539916	4.748382
ENSG00000228794	4.920635	5.017803
ENSG00000188976	5.587086	4.802999
ENSG00000187961	3.416516	4.149614
ENSG00000188290	3.404773	4.766755
ENSG00000187608	3.864356	5.201671
ENSG00000188157	6.785308	5.411807
ENSG00000217801	2.170998	4.198791
ENSG00000131591	4.162791	4.643635
ENSG00000078808	6.028107	5.194770
ENSG00000176022	4.455914	4.975615
ENSG00000160087	5.069018	5.220232
ENSG00000162572	4.670394	4.253424
ENSG00000131584	7.527351	4.838328
ENSG00000169972	2.813025	4.670368
ENSG00000127054	6.123257	5.964444
ENSG00000224051	4.898747	5.908134
ENSG00000107404	7.025276	5.529141
ENSG00000162576	4.088195	4.622998
ENSG00000175756	6.089281	4.492171
ENSG00000221978	6.646714	4.870055
ENSG00000224870	3.754705	5.038072
ENSG00000242485	5.312303	5.908715
ENSG00000272455	2.003068	5.177105
ENSG00000235098	4.471168	3.704887
ENSG00000179403	5.058170	4.400873
ENSG00000215915	2.109016	3.843300
ENSG00000160072	3.985056	4.633417
ENSG00000197785	4.066573	4.976488
ENSG00000205090	4.033906	5.240156
ENSG00000160075	6.644265	6.104383
ENSG00000228594	4.787177	5.521585
ENSG00000272106	4.599571	5.129209
ENSG00000197530	6.244311	4.449398
ENSG00000248333	4.975063	4.559155
ENSG00000189339	5.749043	4.327498
ENSG00000008128	3.581396	4.630108
ENSG00000227775	2.670990	4.929558
ENSG00000215790	2.419905	4.063100
ENSG00000008130	4.811190	5.048901
ENSG00000078369	9.258761	6.958310
ENSG00000142609	2.500850	3.660659
ENSG00000187730	6.677481	6.309747
ENSG00000067606	6.469391	2.586582
ENSG00000182873	2.137723	3.903618
ENSG00000162585	4.312783	5.654786
ENSG00000157933	6.346609	4.936423
ENSG00000116151	2.865039	5.248951
ENSG00000269896	2.157998	3.605660
ENSG00000157916	5.334429	5.359898
ENSG00000157911	4.222897	5.009049
ENSG00000149527	5.979337	4.286654
ENSG00000157881	4.571151	4.683576
ENSG00000157873	4.143158	3.327935
ENSG00000157870	5.818402	4.476214
ENSG00000177133	5.176315	4.385425
ENSG00000142611	4.105545	4.373012
ENSG00000162591	2.819203	3.853526
ENSG00000158109	7.220463	6.399245
ENSG00000116213	3.753908	3.534360
ENSG00000227372	4.561979	3.309491
ENSG00000130764	5.851192	5.090336
ENSG00000116198	4.658946	3.811037
ENSG00000169598	3.191661	3.921892
ENSG00000198912	3.744006	4.319780
ENSG00000196581	5.542448	5.450439
ENSG00000131697	4.102485	5.523460
ENSG00000069424	8.756226	5.386656
ENSG00000116254	8.117273	6.280971
ENSG00000116251	6.915759	3.980809
ENSG00000158286	3.586700	4.030390
ENSG00000116237	5.526751	5.117868
ENSG00000158292	4.186460	4.841855
ENSG00000097021	6.862536	5.049236
ENSG00000215788	4.585609	3.500358
ENSG00000171680	6.052711	3.982006
ENSG00000162408	4.161427	5.225903
ENSG00000204859	3.722248	3.824062
ENSG00000162413	5.945824	5.414307
ENSG00000116273	4.123903	5.926498
ENSG00000041988	3.730272	4.610004
ENSG00000007923	4.557745	5.360198
ENSG00000171735	6.879311	6.352257
ENSG00000049245	5.658573	5.506658
ENSG00000049246	5.089707	4.805046
ENSG00000116288	7.423487	4.267046
ENSG00000116285	5.049979	4.880636
ENSG00000162426	4.381153	5.495977
ENSG00000142599	7.208015	4.746825
ENSG00000074800	9.328123	5.076222
ENSG00000142583	3.291515	4.307097
ENSG00000228526	2.202416	4.216883
ENSG00000049239	4.581215	4.047770
ENSG00000171621	2.906929	5.122985
ENSG00000171612	4.598867	5.550027
ENSG00000188807	4.440581	4.000907
ENSG00000171608	4.378508	3.734096
ENSG00000171603	9.306523	8.288103
ENSG00000178585	5.392176	5.808953
ENSG00000162441	3.832483	4.280046
ENSG00000173614	2.808761	4.116667
ENSG00000130939	5.765738	5.337551
ENSG00000054523	8.705397	8.179640
ENSG00000142657	5.781445	4.450500
ENSG00000175279	3.044660	3.910691
ENSG00000241563	2.988825	6.636204
ENSG00000160049	5.079393	4.590534
ENSG00000142655	4.865086	4.446977
ENSG00000120948	6.845463	4.941110
ENSG00000116649	5.564899	5.193807
ENSG00000171824	5.379498	4.643023
ENSG00000198793	6.006288	4.650351
ENSG00000120942	3.169776	4.474824
ENSG00000204624	3.349677	4.640021
ENSG00000116661	7.353207	5.264278
ENSG00000132879	7.415994	6.838325
ENSG00000116663	3.276166	4.082841
ENSG00000116670	3.842618	4.247932
ENSG00000177674	3.008624	4.815046
ENSG00000177000	4.812632	5.636055
ENSG00000011021	6.374594	5.847806
ENSG00000116685	4.868237	5.545766
ENSG00000083444	5.242232	5.691631
ENSG00000116688	7.297648	5.385101
ENSG00000116691	4.141912	4.171749
ENSG00000028137	3.425188	3.205502
ENSG00000048707	6.650877	5.301181
ENSG00000162496	4.351736	3.427411
ENSG00000162493	2.966751	4.482677
ENSG00000116731	6.683338	4.348525
ENSG00000189337	5.697843	5.139920
ENSG00000171729	2.433848	4.500791
ENSG00000142634	7.125323	6.186418
ENSG00000132906	4.048858	5.300916
ENSG00000116138	4.592167	4.509809
ENSG00000197312	4.546553	4.789336
ENSG00000116786	8.401598	5.536098
ENSG00000162461	2.539966	3.435420
ENSG00000233954	3.073714	4.031813
ENSG00000179743	2.380944	6.176181
ENSG00000065526	6.114340	5.157835
ENSG00000116809	4.915430	5.071618
ENSG00000185519	3.069316	5.208507
ENSG00000142627	2.444314	3.539527
ENSG00000132881	2.510872	4.063948
ENSG00000037637	4.810178	5.411956
ENSG00000055070	4.954150	5.546123
ENSG00000157191	4.283401	4.310057
ENSG00000080947	3.370611	4.927389
ENSG00000219481	3.930639	3.442312
ENSG00000215908	5.040594	2.986069
ENSG00000058453	4.998359	3.984000
ENSG00000159363	7.343675	6.178064
ENSG00000117118	5.691369	5.832013
ENSG00000117115	6.584320	4.479226
ENSG00000179051	5.003107	3.972869
ENSG00000074964	5.296956	6.213961
ENSG00000117154	6.012910	6.406940
ENSG00000009709	2.299646	3.001645
ENSG00000159423	6.557958	4.829072
ENSG00000169991	4.683678	4.422267
ENSG00000127481	6.841576	5.696764
ENSG00000127463	5.480626	5.578809
ENSG00000053372	5.132423	5.259586
ENSG00000053371	4.486298	5.111236
ENSG00000040487	3.809817	4.794438
ENSG00000077549	7.083674	6.438864
ENSG00000173436	6.322123	5.720033
ENSG00000158747	7.245782	5.589525
ENSG00000169914	4.725142	5.145402
ENSG00000127472	2.705111	4.176597
ENSG00000162543	3.437477	3.786250
ENSG00000162545	9.628794	9.379035
ENSG00000090432	4.413397	3.889237
ENSG00000183114	3.793120	5.090316
